ip.src	udp.srcport	ip.dst	udp.dstport	dns.qry.name	dns.resp.name
10.0.0.103	56612	10.0.0.102	53	dnscat.38ae032b7600000000179adf8e009c50f8826276a961de450a4efa8dd0b8.861c59f55d90f1375cedb79564973719c3ea3b34afa955815dac2ea36948.a56ff689c1c14c62d723879745	
10.0.0.102	53	10.0.0.103	56612	dnscat.38ae032b7600000000179adf8e009c50f8826276a961de450a4efa8dd0b8.861c59f55d90f1375cedb79564973719c3ea3b34afa955815dac2ea36948.a56ff689c1c14c62d723879745	dnscat.38ae032b7600000000179adf8e009c50f8826276a961de450a4efa8dd0b8.861c59f55d90f1375cedb79564973719c3ea3b34afa955815dac2ea36948.a56ff689c1c14c62d723879745
10.0.0.103	56612	10.0.0.102	53	dnscat.3d34032b767aefc93f166000000775a4c9a3b87631230ad1d124d176034a.80abe03d26028e179e114d96b339b14c223ad7	
10.0.0.102	53	10.0.0.103	56612	dnscat.3d34032b767aefc93f166000000775a4c9a3b87631230ad1d124d176034a.80abe03d26028e179e114d96b339b14c223ad7	dnscat.3d34032b767aefc93f166000000775a4c9a3b87631230ad1d124d176034a.80abe03d26028e179e114d96b339b14c223ad7
10.0.0.103	56612	10.0.0.102	53	dnscat.3934002b76ce9638d9e92700010ffc44e934782d4ae73886a41007cc5b4f.c83f568b6eac88140006f722536566	
10.0.0.102	53	10.0.0.103	56612	dnscat.3934002b76ce9638d9e92700010ffc44e934782d4ae73886a41007cc5b4f.c83f568b6eac88140006f722536566	dnscat.3934002b76ce9638d9e92700010ffc44e934782d4ae73886a41007cc5b4f.c83f568b6eac88140006f722536566
10.0.0.103	56612	10.0.0.102	53	dnscat.6a51012b76e9ef2db26385000284c4aabd	
10.0.0.102	53	10.0.0.103	56612	dnscat.6a51012b76e9ef2db26385000284c4aabd	dnscat.6a51012b76e9ef2db26385000284c4aabd
10.0.0.103	56612	10.0.0.102	53	dnscat.698a012b76bb1c84bb237b0003b6af894b	
10.0.0.102	53	10.0.0.103	56612	dnscat.698a012b76bb1c84bb237b0003b6af894b	dnscat.698a012b76bb1c84bb237b0003b6af894b
10.0.0.103	56612	10.0.0.102	53	dnscat.2bbf012b763d73269ebb6b00040b3a3f78	
10.0.0.102	53	10.0.0.103	56612	dnscat.2bbf012b763d73269ebb6b00040b3a3f78	dnscat.2bbf012b763d73269ebb6b00040b3a3f78
10.0.0.103	56612	10.0.0.102	53	dnscat.6089012b76fe2f6ebff62d000549e276b1	
10.0.0.102	53	10.0.0.103	56612	dnscat.6089012b76fe2f6ebff62d000549e276b1	dnscat.6089012b76fe2f6ebff62d000549e276b1
10.0.0.103	56612	10.0.0.102	53	dnscat.0ee4012b76d22feb332bd90006a09319af	
10.0.0.102	53	10.0.0.103	56612	dnscat.0ee4012b76d22feb332bd90006a09319af	dnscat.0ee4012b76d22feb332bd90006a09319af
10.0.0.103	56612	10.0.0.102	53	dnscat.3a6e012b76d4dd97082bd70007d518e51f	
10.0.0.102	53	10.0.0.103	56612	dnscat.3a6e012b76d4dd97082bd70007d518e51f	dnscat.3a6e012b76d4dd97082bd70007d518e51f
10.0.0.103	56612	10.0.0.102	53	dnscat.4c7f012b76469f65d694150008b7a94c02	
10.0.0.102	53	10.0.0.103	56612	dnscat.4c7f012b76469f65d694150008b7a94c02	dnscat.4c7f012b76469f65d694150008b7a94c02
10.0.0.103	56612	10.0.0.102	53	dnscat.5d63012b761056836e38500009ba0d34e3	
10.0.0.102	53	10.0.0.103	56612	dnscat.5d63012b761056836e38500009ba0d34e3	dnscat.5d63012b761056836e38500009ba0d34e3
10.0.0.103	56612	10.0.0.102	53	dnscat.5752012b760ca02c22d8f5000aa41a3b5a	
10.0.0.102	53	10.0.0.103	56612	dnscat.5752012b760ca02c22d8f5000aa41a3b5a	dnscat.5752012b760ca02c22d8f5000aa41a3b5a
10.0.0.103	56612	10.0.0.102	53	dnscat.1a85012b76e846540910ac000be18b05dd	
10.0.0.102	53	10.0.0.103	56612	dnscat.1a85012b76e846540910ac000be18b05dd	dnscat.1a85012b76e846540910ac000be18b05dd
10.0.0.103	56612	10.0.0.102	53	dnscat.22cc012b76a71eed0336d0000c4deccc36	
10.0.0.102	53	10.0.0.103	56612	dnscat.22cc012b76a71eed0336d0000c4deccc36	dnscat.22cc012b76a71eed0336d0000c4deccc36
10.0.0.103	56612	10.0.0.102	53	dnscat.5a2f012b76fd781d5f4881000d11317e9c	
10.0.0.102	53	10.0.0.103	56612	dnscat.5a2f012b76fd781d5f4881000d11317e9c	dnscat.5a2f012b76fd781d5f4881000d11317e9c
10.0.0.103	56612	10.0.0.102	53	dnscat.08ea012b769b8781b3c6c2000e020d85b6	
10.0.0.102	53	10.0.0.103	56612	dnscat.08ea012b769b8781b3c6c2000e020d85b6	dnscat.08ea012b769b8781b3c6c2000e020d85b6
10.0.0.103	56612	10.0.0.102	53	dnscat.6a25012b76dcfe9ba48e00000f7ff2002f	
